"Symbol";"Value";"Unit";
"eclas";"23-11-01-90";"";
"REFERENCE";"GN 1580-M12-25-MT-E";"";
"TraceParts.PartTitle";"GN 1580 Edelstahl-Schrauben, Hygienic Design";"";
"TraceParts.InstanceId";"90-25012021-0498378K16UB3K190M2KXOJI3BJCZNX";"";
"DESIGN";"GN 1580 Edelstahl-Schrauben, Hygienic Design";"";
"SUPPLIER";"GANTER";"";
"TraceParts.PartNumber";"90-25012021-049837";"";
"TraceParts.PartVersion";"1.0.2";"";
"TraceParts.PartLanguage";"de";"";
